from_state,to_state,weight
"El Paso, TX","Albuquerque, NM",367.88584356108345
"El Paso, TX","Mesa, AZ",536.256659972679
"El Paso, TX","Tucson, AZ",425.41386739988224
"El Paso, TX","Phoenix, AZ",558.7835703774161
"El Paso, TX","Colorado Springs, CO",797.7517116740046
"Long Beach, CA","Oakland, CA",579.5829987228403
"Long Beach, CA","Mesa, AZ",590.156204210031
"Long Beach, CA","Sacramento, CA",611.0649790490104
"Long Beach, CA","Tucson, AZ",698.6566667728368
"Long Beach, CA","San Jose, CA",518.2330606219175
"Long Beach, CA","Fresno, CA",360.4704577972272
"Long Beach, CA","San Diego, CA",151.45008247402757
"Long Beach, CA","Phoenix, AZ",567.4125390872786
"Long Beach, CA","San Francisco, CA",585.6985397766858
"Long Beach, CA","Los Angeles, CA",31.69419563651866
"Long Beach, CA","Las Vegas, NV",385.2597725411484
"Dallas, TX","Arlington, TX",29.42593131790841
"Dallas, TX","Wichita, KS",548.0572491959326
"Dallas, TX","Oklahoma City, OK",306.2597807397289
"Dallas, TX","New Orleans, LA",711.0141469371868
"Dallas, TX","Houston, TX",361.5418590783276
"Dallas, TX","Kansas City, MO",730.377587942699
"Dallas, TX","San Antonio, TX",406.0065656782324
"Dallas, TX","Memphis, TN",675.3316242841653
"Dallas, TX","Tulsa, OK",382.46410800205336
"Dallas, TX","Austin, TX",292.91146634693376
"Dallas, TX","Fort Worth, TX",49.93359898977102
"Oakland, CA","Long Beach, CA",579.5829987228403
"Oakland, CA","Sacramento, CA",109.82159793013636
"Oakland, CA","San Jose, CA",61.90292319070633
"Oakland, CA","Fresno, CA",250.2309725980516
"Oakland, CA","San Diego, CA",730.9953136286227
"Oakland, CA","San Francisco, CA",13.428080525235568
"Oakland, CA","Los Angeles, CA",552.3121684216721
"Oakland, CA","Las Vegas, NV",658.3408716278288
"Albuquerque, NM","El Paso, TX",367.88584356108345
"Albuquerque, NM","Mesa, AZ",514.5675468665884
"Albuquerque, NM","Tucson, AZ",510.7965704802782
"Albuquerque, NM","Phoenix, AZ",534.0407586326625
"Albuquerque, NM","Denver, CO",536.4291827646916
"Albuquerque, NM","Colorado Springs, CO",445.6400042319895
"Albuquerque, NM","Las Vegas, NV",779.953416852203
"Baltimore, MD","Raleigh, NC",429.0122832219615
"Baltimore, MD","Cleveland, OH",495.1075478023953
"Baltimore, MD","Philadelphia, PA",144.0640481858552
"Baltimore, MD","Boston, MA",578.0875135253946
"Baltimore, MD","Charlotte, NC",586.2855475627688
"Baltimore, MD",Washington D.C.,56.16567491112449
"Baltimore, MD","New York, NY",272.38422181145063
"Baltimore, MD","Detroit, MI",637.6886783148906
"Baltimore, MD","Columbus, OH",551.5744271908803
"Baltimore, MD","Virginia Beach, VA",276.4842802839367
"Raleigh, NC","Baltimore, MD",429.0122832219615
"Raleigh, NC","Cleveland, OH",688.6125090133806
"Raleigh, NC","Louisville/Jefferson County, KY",688.7073656910881
"Raleigh, NC","Atlanta, GA",571.2185028690484
"Raleigh, NC","Philadelphia, PA",554.7433742861185
"Raleigh, NC","Charlotte, NC",208.69979892270072
"Raleigh, NC",Washington D.C.,375.2253061080388
"Raleigh, NC","New York, NY",680.9077807661519
"Raleigh, NC","Indianapolis, IN",795.0096232862684
"Raleigh, NC","Nashville-Davidson, TN",733.3988290802547
"Raleigh, NC","Columbus, OH",601.698772359296
"Raleigh, NC","Virginia Beach, VA",266.37385856851193
"Raleigh, NC","Jacksonville, FL",667.2967757561717
"Mesa, AZ","El Paso, TX",536.256659972679
"Mesa, AZ","Long Beach, CA",590.156204210031
"Mesa, AZ","Albuquerque, NM",514.5675468665884
"Mesa, AZ","Tucson, AZ",157.26017307785148
"Mesa, AZ","San Diego, CA",502.3263561460674
"Mesa, AZ","Phoenix, AZ",22.79553039579591
"Mesa, AZ","Los Angeles, CA",596.6944422568216
"Mesa, AZ","Las Vegas, NV",429.8988310173471
"Arlington, TX","Dallas, TX",29.42593131790841
"Arlington, TX","Wichita, KS",550.8138003458517
"Arlington, TX","Oklahoma City, OK",305.89535561943643
"Arlington, TX","New Orleans, LA",735.8026229506348
"Arlington, TX","Houston, TX",369.5566420759369
"Arlington, TX","Kansas City, MO",742.8459954761595
"Arlington, TX","San Antonio, TX",390.8981857027806
"Arlington, TX","Memphis, TN",703.6616239985909
"Arlington, TX","Tulsa, OK",393.3587398321102
"Arlington, TX","Austin, TX",280.8343387749554
"Arlington, TX","Fort Worth, TX",20.930696675141498
"Sacramento, CA","Long Beach, CA",611.0649790490104
"Sacramento, CA","Oakland, CA",109.82159793013636
"Sacramento, CA","San Jose, CA",142.37168354889943
"Sacramento, CA","Fresno, CA",253.9761318839872
"Sacramento, CA","San Diego, CA",760.0327691692984
"Sacramento, CA","San Francisco, CA",120.68134676034228
"Sacramento, CA","Los Angeles, CA",581.3180718925387
"Sacramento, CA","Portland, OR",777.4903265797615
"Sacramento, CA","Las Vegas, NV",621.6693471839634
"Wichita, KS","Dallas, TX",548.0572491959326
"Wichita, KS","Arlington, TX",550.8138003458517
"Wichita, KS","Oklahoma City, OK",247.36915356065143
"Wichita, KS","Kansas City, MO",286.7887192519942
"Wichita, KS","Memphis, TN",709.8334440883956
"Wichita, KS","Denver, CO",701.4183354835055
"Wichita, KS","Omaha, NE",412.2771985083082
"Wichita, KS","Tulsa, OK",208.1658493855318
"Wichita, KS","Colorado Springs, CO",665.1967107484711
"Wichita, KS","Fort Worth, TX",548.2249270170437
"Tucson, AZ","El Paso, TX",425.41386739988224
"Tucson, AZ","Long Beach, CA",698.6566667728368
"Tucson, AZ","Albuquerque, NM",510.7965704802782
"Tucson, AZ","Mesa, AZ",157.26017307785148
"Tucson, AZ","San Diego, CA",587.0077247254917
"Tucson, AZ","Phoenix, AZ",173.37868185485377
