state,population,lat,lon
"El Paso, TX",674433,-106,31
"Long Beach, CA",469428,-118,33
"Dallas, TX",1257676,-96,32
"Oakland, CA",406253,-122,37
"Albuquerque, NM",556495,-106,35
"Baltimore, MD",622104,-76,39
"Raleigh, NC",431746,-78,35
"Mesa, AZ",457587,-111,33
"Arlington, TX",379577,-97,32
"Sacramento, CA",479686,-121,38
"Wichita, KS",386552,-97,37
"Tucson, AZ",526116,-110,32
"Cleveland, OH",390113,-81,41
"Louisville/Jefferson County, KY",609893,-85,38
"San Jose, CA",998537,-121,37
"Oklahoma City, OK",610613,-97,35
"Atlanta, GA",447841,-84,33
"New Orleans, LA",378715,-90,29
"Miami, FL",417650,-80,25
"Fresno, CA",509924,-119,36
"Philadelphia, PA",1553165,-75,39
"Houston, TX",2195914,-95,29
"Boston, MA",645966,-71,42
"Kansas City, MO",467007,-94,39
"San Diego, CA",1355896,-117,32
"Chicago, IL",2718782,-87,41
"Charlotte, NC",792862,-80,35
Washington D.C.,646449,-77,38
"San Antonio, TX",1409019,-98,29
"Phoenix, AZ",1513367,-112,33
"San Francisco, CA",837442,-122,37
"Memphis, TN",653450,-90,35
"Los Angeles, CA",3884307,-118,34
"New York, NY",8405837,-74,40
"Denver, CO",649495,-104,39
"Omaha, NE",434353,-95,41
"Seattle, WA",652405,-122,47
"Portland, OR",609456,-122,45
"Tulsa, OK",398121,-95,36
"Austin, TX",885400,-97,30
"Minneapolis, MN",400070,-93,44
"Colorado Springs, CO",439886,-104,38
"Fort Worth, TX",792727,-97,32
"Indianapolis, IN",843393,-86,39
"Las Vegas, NV",603488,-115,36
"Detroit, MI",688701,-83,42
"Nashville-Davidson, TN",634464,-86,36
"Milwaukee, WI",599164,-87,43
"Columbus, OH",822553,-82,39
"Virginia Beach, VA",448479,-75,36
"Jacksonville, FL",842583,-81,30
